"Years","Count"
"1970","1"
"1982","2"
"1984","1"
"1985","2"
"1986","1"
"1988","1"
"1989","2"
"1992","8"
"1993","2"
"1994","2"
"1995","7"
"1996","12"
"1997","23"
"1998","23"
"1999","6"
"2000","11"
"2001","28"
"2002","28"
"2003","205"
"2004","60"
"2005","61"
"2006","97"
"2007","128"
"2008","175"
"2009","219"
"2010","437"
"2011","827"
"2012","1235"
"2013","1133"
"2014","1460"
"2015","1716"
"2016","2600"
"2017","3041"
"2018","2801"
"2019","3488"
"2020","2754"
"2021","2770"
"2022","4329"
"2023","7893"
"2024","13972"